movie_name,budget,revenue,runtime,year
the italian job,60000000,176070171,111.0,1969
the ghost writer,45000000,60222298,128.0,2010
the birdcage,0,185260553,117.0,1996
murder on the orient express,0,27634716,114.0,1974
the boondock saints,6000000,30471,108.0,1999
moonstruck,0,80640528,102.0,1987
the proposition,2000000,5048693,94.0,2005
fitzcarraldo,0,0,158.0,1982
you can count on me,0,0,111.0,2000
meru,0,2334228,90.0,2015
the sweet hereafter,5000000,3263585,112.0,1997
dead ringers,13000000,8038508,116.0,1988
triangle,12000000,0,99.0,2009
gallipoli,0,5732587,110.0,1981
terms of endearment,8000000,0,132.0,1983
pretty in pink,0,40471663,97.0,1986
the kings of summer,0,0,95.0,2013
if....,0,500000,111.0,1968
beautiful boy,0,63931,120.0,2018
hard eight,3000000,222559,102.0,1996
ginger snaps,5000000,0,108.0,2000
robot & frank,2500000,3325038,89.0,2012
gia,0,0,120.0,1998
and the band played on,0,0,141.0,1993
hellraiser,1000000,14564027,94.0,1987
air force one,85000000,315156409,124.0,1997
get the gringo,35000000,0,96.0,2012
big night,0,0,109.0,1996
reds,32000000,40382659,195.0,1981
bernie,0,0,99.0,2012
bernie,0,0,99.0,2012
dog soldiers,0,0,105.0,2002
soldier's girl,0,0,112.0,2003
the endless summer,0,0,95.0,1966
laurence anyways,9500000,0,168.0,2012
the snowman,0,0,119.0,1982
a bridge too far,22000000,50750000,175.0,1977
wake in fright,0,0,109.0,1971
a most wanted man,15000000,31554855,122.0,2014
runaway train,9000000,7936012,98.0,1985
house of sand and fog,16500000,16942795,126.0,2003
behind the candelabra,23000000,15600000,118.0,2013
what maisie knew,6000000,1066471,99.0,2013
citizen x,0,0,105.0,1995
some kind of wonderful,0,18553948,95.0,1987
the phantom of the opera,70000000,154648887,143.0,1925
the phantom of the opera,0,0,143.0,1925
what if,11000000,7847000,98.0,2013
the doors,38000000,34416893,140.0,1991
the pink panther strikes again,6000000,33833201,103.0,1976
transsiberian,15000000,5926410,111.0,2008
house of games,0,2585639,102.0,1987
the crazies,20000000,54956140,101.0,2010
the crazies,275000,0,101.0,2010
atlantic city,7200000,12729678,104.0,1980
king of new york,1000000,2554476,103.0,1990
carnival of souls,30000,0,78.0,1962
the whistleblower,0,0,112.0,2010
dhoom 2,11000000,46396427,152.0,2006
harry brown,7300000,10329747,103.0,2009
ghost town,0,0,102.0,2008
friday the 13th,19000000,91379051,95.0,1980
friday the 13th,550000,59754601,95.0,1980
birdy,0,0,120.0,1984
death of a salesman,0,0,136.0,1985
who killed the electric car?,1000000,1678874,92.0,2006
breakdown,36000000,50159144,93.0,1997
the house of the devil,0,0,95.0,2009
magic mike,7000000,167221571,110.0,2012
draft day,27000000,28831145,110.0,2014
capitalism: a love story,20000000,17436509,127.0,2009
papillon,12000000,53267000,133.0,2017
phantasm,300000,11988469,89.0,1979
dark water,30000000,25473093,105.0,2002
southern comfort,0,0,106.0,1981
the snow walker,0,0,103.0,2003
sunshine cleaning,5000000,16174377,91.0,2008
the woman in black,17000000,127730736,95.0,2012
the woman in black,0,0,95.0,2012
behind the mask: the rise of leslie vernon,0,69136,92.0,2006
these final hours,0,0,87.0,2014
the man who fell to earth,1500000,0,139.0,1976
the monster squad,12000000,3769990,79.0,1987
rosencrantz & guildenstern are dead,0,0,117.0,1991
phenomena,3800000,0,116.0,1985
grey gardens,12000000,0,95.0,2009
grey gardens,0,0,95.0,2009
macbeth,0,13192457,113.0,2015
macbeth,0,0,113.0,2015
danny collins,10000000,10835752,106.0,2015
too big to fail,0,0,99.0,2011
bad taste,25710,0,91.0,1987
ballet shoes,0,0,85.0,2008
charlie bartlett,12000000,0,97.0,2007
explorers,25000000,9873044,109.0,1985
janis: little girl blue,0,0,103.0,2015
fat city,0,0,96.0,1972
the dressmaker,11930000,18340000,119.0,2015
the ninth gate,38000000,58401898,133.0,1999
game change,0,0,118.0,2012
penelope,15000000,0,104.0,2006
igby goes down,9000000,4777465,98.0,2002
the decline of western civilization part ii: the metal years,0,0,93.0,1988
"jeff, who lives at home",10000000,4417580,83.0,2011
the war zone,0,0,98.0,1999
the party,1500000,0,100.0,2017
stake land,650000,33245,98.0,2010
alive inside,0,0,78.0,2014
the hospital,0,0,103.0,1971
like crazy,250000,3542353,86.0,2011
internal affairs,0,27734391,115.0,1990
changing lanes,45000000,94935764,98.0,2002
nas: time is illmatic,0,0,74.0,2014
agora,70000000,39041505,127.0,2009
trees lounge,0,0,95.0,1996
suburbia,0,0,94.0,1984
suburbia,0,0,94.0,1984
the first time,0,0,95.0,2012
salmon fishing in the yemen,0,34564651,107.0,2012
battle of britain,12000000,0,132.0,1969
the tuskegee airmen,0,0,106.0,1995
support your local sheriff,0,0,92.0,1969
burn notice: the fall of sam axe,0,0,120.0,2011
the plague dogs,0,0,103.0,1982
wendy and lucy,200000,0,80.0,2008
rat race,48000000,85498534,112.0,2001
rivers and tides,0,0,90.0,2001
beneath hill 60,7347125,0,122.0,2010
recount,0,0,116.0,2008
dragonslayer,18000000,6000000,108.0,1981
lawn dogs,7000000,0,101.0,1997
reefer madness: the movie musical,0,0,112.0,2006
mardaani,0,0,113.0,2014
out of time,50000000,55495563,105.0,2003
d.o.a.,0,12706478,83.0,1950
the long riders,10000000,15795189,100.0,1980
kill the irishman,0,1188194,106.0,2011
mr. mom,0,64783827,91.0,1983
the falcon and the snowman,0,0,131.0,1985
eye of the needle,0,18000000,112.0,1981
avanti!,0,0,144.0,1972
a girl like her,0,0,91.0,2015
still mine,0,0,102.0,2012
why we fight,0,0,98.0,2005
bill & ted's bogus journey,0,0,93.0,1991
bones brigade: an autobiography,110,0,90.0,2012
the young and prodigious t.s. spivet,33000000,9494789,105.0,2013
the kentucky fried movie,600000,0,83.0,1977
the ninth configuration,0,0,118.0,1980
an american crime,2000000,0,98.0,2007
dick tracy,47000000,103738726,105.0,1990
coffy,500000,0,90.0,1973
we are legion: the story of the hacktivists,0,0,93.0,2012
the island,126000000,162949164,136.0,2006
neds,0,0,124.0,2010
the cutting edge,0,25105517,101.0,1992
meet the patels,0,0,88.0,2015
f/x,0,20603715,109.0,1986
the true cost,0,0,92.0,2015
liquid sky,0,0,112.0,1982
i capture the castle,0,0,113.0,2003
bully,0,480811,108.0,2001
bully,1100000,0,108.0,2001
the midnight meat train,15000000,3533227,98.0,2008
10 rillington place,0,0,111.0,1971
the man in the iron mask,0,0,132.0,1998
the man in the iron mask,0,0,132.0,1998
breakfast on pluto,0,0,128.0,2005
the big easy,0,0,102.0,1986
finders keepers,0,0,82.0,2015
finders keepers,0,0,82.0,2015
you're not you,0,11486,102.0,2014
that sugar film,0,0,90.0,2014
meatballs,0,0,94.0,1979
morvern callar,0,0,97.0,2002
the soloist,60000000,31720158,117.0,2009
class of 1984,4300000,0,98.0,1982
electrick children,0,0,96.0,2012
the first great train robbery,6000000,0,110.0,1978
conversations with other women,450000,973525,84.0,2006
james white,0,0,85.0,2015
next,70000000,18211013,96.0,2007
grave encounters,1000000,0,92.0,2011
spun,2000000,0,101.0,2002
a late quartet,0,1562546,105.0,2012
inferno,15000000,0,121.0,1980
inferno,3000000,0,121.0,1980
frequently asked questions about time travel,0,0,83.0,2009
the vanishing,0,0,107.0,2018
antarctica: a year on ice,1000000,0,91.0,2013
the ultimate gift,0,0,114.0,2006
alice sweet alice,0,0,107.0,1976
to end all wars,0,0,125.0,2001
the shooting,75000,0,82.0,1966
two hands,0,0,103.0,1999
savior,10000000,0,103.0,1998
young sherlock holmes,18000000,0,109.0,1985
narco cultura,0,0,103.0,2013
baby boom,0,0,110.0,1987
oddball,0,0,95.0,2015
ill manors,170000,0,121.0,2012
hollywood shuffle,0,0,78.0,1987
cutter's way,3000000,0,109.0,1981
the front,0,0,95.0,1976
across 110th street,0,0,102.0,1972
eden,0,65460,131.0,2012
eden,0,0,131.0,2012
little big man,15000000,31559552,139.0,1970
rabid,530000,0,107.0,1977
convoy,12000000,22765081,110.0,1978
the exorcist iii,0,39024251,110.0,1990
long weekend,0,0,97.0,1978
long weekend,0,0,97.0,1978
animal factory,0,0,94.0,2000
the prophecy,8,16,98.0,1995
the way of the gun,0,19125401,119.0,2000
soapdish,0,36489888,97.0,1991
big fan,250000,232732,88.0,2009
night owls,0,0,90.0,2015
robin hood,200000000,310669540,140.0,1922
robin hood,15000000,32056467,140.0,1922
palo alto,0,0,100.0,2014
the opposite of sex,5000000,5879254,105.0,1998
hidden agenda,0,1030938,108.0,1990
elizabethtown,57000000,52034889,123.0,2005
g.b.f.,0,0,92.0,2013
i spit on your grave,2000000,572809,108.0,2010
american gigolo,4800000,22743674,117.0,1980
something from nothing: the art of rap,0,288312,106.0,2012
the age of stupid,0,0,92.0,2009
two night stand,0,18612,86.0,2014
the four feathers,35000000,29882645,132.0,2002
the joneses,10000000,7022728,96.0,2010
the hornet's nest,0,0,93.0,2014
the house that dripped blood,0,0,102.0,1971
the big kahuna,7000000,3728888,90.0,2000
master of the universe,0,0,88.0,2013
airplane ii: the sequel,0,27150534,85.0,1982
puncture,0,68945,100.0,2011
shade,6800000,0,101.0,2003
saint ralph,0,0,98.0,2005
society,0,0,99.0,1989
stigmata,29000000,50041732,103.0,1999
"tomorrow, when the war began",27000000,16504936,103.0,2010
the poughkeepsie tapes,0,0,81.0,2007
home for the holidays,0,17519169,103.0,1995
the wild and wonderful whites of west virginia,0,0,86.0,2009
bellflower,17000,101236,106.0,2011
streetdance 3d,5773100,18144030,98.0,2010
life itself,0,0,117.0,2018
pantani: the accidental death of a cyclist,0,0,96.0,2014
biggie and tupac,0,0,108.0,2002
the grand seduction,12700000,3430018,113.0,2013
a man called horse,0,0,114.0,1970
nina forever,0,0,98.0,2015
hawking,0,0,90.0,2013
louder than bombs,11000000,0,109.0,2015
soaked in bleach,0,0,90.0,2015
the uninvited,0,41624046,87.0,2009
twins of evil,0,0,87.0,1971
welcome to me,0,0,87.0,2014
the collector,3400000,9444018,90.0,2009
vampire's kiss,2000000,725131,103.0,1988
foxy brown,500000,0,92.0,1974
cleanskin,0,0,108.0,2012
the boy,0,0,97.0,2016
the private lives of pippa lee,0,0,98.0,2009
evelyn,0,0,94.0,2002
geography club,0,0,84.0,2013
clear history,0,0,101.0,2013
fritz the cat,850000,0,78.0,1972
nightbreed,11000000,8862354,102.0,1990
the house of magic,34000000,0,85.0,2013
the words,6000000,13231461,102.0,2012
party monster,5000000,742898,98.0,2003
the brothers grimm,88000000,105316267,118.0,2005
the stuff,1700000,0,87.0,1985
chi-raq,0,0,127.0,2015
escobar: paradise lost,17000000,0,120.0,2014
shoot to kill,0,29300000,110.0,1988
into the blue,50000000,44434439,110.0,2005
the descent: part 2,0,0,94.0,2009
me without you,0,0,107.0,2001
tales of halloween,0,0,92.0,2015
battle in seattle,8000000,908847,99.0,2007
dark blue,15000000,9237470,118.0,2002
happythankyoumoreplease,0,215576,100.0,2011
bottle shock,5000000,4040588,110.0,2008
big nothing,0,0,86.0,2006
friday the 13th part 2,1250000,21722776,87.0,1981
the reef,0,0,94.0,2010
what richard did,0,0,88.0,2012
the perfect game,12500000,3878993,118.0,2010
the possession,14000000,85446075,92.0,2012
cecil b. demented,10000000,0,87.0,2000
tideland,12000000,0,120.0,2005
species,35000000,113000000,108.0,1995
once i was a beehive,0,732655,119.0,2015
shottas,200000,0,95.0,2002
the golden child,25000000,79817939,94.0,1986
kaante,0,0,150.0,2002
the suicide theory,0,0,98.0,2015
lady jane,8500000,0,136.0,1986
joe,4000000,2365467,117.0,1970
black sunday,0,0,87.0,1977
upside down,60000000,8106475,109.0,2012
hyena road,0,0,120.0,2015
the mechanic,40000000,51070807,93.0,1972
the mechanic,0,0,93.0,1972
the front page,4000000,0,101.0,1931
adore,16000000,318982,112.0,2013
nicholas and alexandra,0,0,183.0,1971
the sisterhood of night,0,0,104.0,2015
not suitable for children,0,0,97.0,2012
the foot fist way,79000,245000,85.0,2006
pathology,8000000,0,95.0,2008
parkland,10000000,653651,93.0,2013
some guy who kills people,300000,0,97.0,2011
good dick,0,0,86.0,2008
the keeping room,0,0,95.0,2014
100 bloody acres,0,0,91.0,2012
goya's ghosts,50000000,9448082,113.0,2006
the poker house,0,0,93.0,2008
de-lovely,20000000,0,125.0,2004
afternoon delight,0,0,98.0,2013
cuban fury,0,0,98.0,2014
body bags,0,0,91.0,1993
gone in 60 seconds,0,0,118.0,1974
super high me,0,0,94.0,2007
the greatest story ever told,20000000,12000000,260.0,1965
the summit,0,0,95.0,2012
ashby,0,0,100.0,2015
northern soul,0,0,102.0,2014
"new york, i love you",14700000,8049666,103.0,2008
undertow,0,143597,71.0,2004
life of a king,0,0,100.0,2013
paint your wagon,0,0,164.0,1969
essential killing,3167000,0,83.0,2010
creation,0,0,108.0,2009
q,0,0,103.0,1982
night of the demons,10000000,0,90.0,1988
night of the demons,1200000,3109904,90.0,1988
boy wonder,0,0,93.0,2010
blue chips,0,0,108.0,1994
interview,0,0,105.0,2007
kites,0,0,123.0,2010
mr. nice,0,850994,121.0,2010
gulliver's travels,112000000,237382724,85.0,1939
gulliver's travels,28000000,0,85.0,1939
bride of re-animator,2000000,0,96.0,1990
1492: conquest of paradise,47000000,7191399,154.0,1992
the 51st state,28,0,93.0,2001
sirens,0,7770731,98.0,1994
the heart is deceitful above all things,74050,176153,98.0,2004
goin' south,0,0,105.0,1978
wake wood,0,0,90.0,2011
paper man,0,0,110.0,2009
double impact,15000000,30102717,110.0,1991
creepshow 2,3500000,14000000,92.0,1987
life,12000000,0,104.0,2015
life,0,0,104.0,2015
life,80000000,73345029,104.0,2015
the cat's meow,7000000,3646994,114.0,2001
falcon rising,0,0,103.0,2014
from time to time,0,0,92.0,2010
the portrait of a lady,0,3692836,144.0,1996
blue hawaii,0,0,102.0,1961
stop-loss,25000000,11207130,112.0,2008
absolutely anything,0,5189646,85.0,2015
chopping mall,800000,0,77.0,1986
felony,0,0,105.0,2014
red lights,14000000,13551174,114.0,2012
test,0,0,101.0,2013
twilight,37000000,392616625,122.0,1998
twilight,0,0,122.0,1998
bravetown,0,0,112.0,2015
the alibi,0,0,90.0,2006
feast of love,0,5741608,97.0,2007
humanoids from the deep,0,0,80.0,1980
letters to god,0,0,110.0,2010
at middleton,2500000,0,99.0,2013
flashbacks of a fool,0,1107542,109.0,2008
bmx bandits,980385,0,88.0,1983
in the electric mist,0,0,117.0,2009
hands of the ripper,0,0,85.0,1971
alex of venice,0,0,86.0,2015
kurt & courtney,0,0,95.0,1998
the slumber party massacre,0,0,77.0,1982
the quiet,900000,381420,96.0,2005
zombeavers,0,14947,77.0,2014
23 blast,0,0,98.0,2014
heartburn,0,0,108.0,1986
big ass spider!,0,0,80.0,2013
book of blood,0,0,100.0,2009
little secrets,0,0,96.0,2001
necessary roughness,0,0,108.0,1991
serenity,39000000,38869464,106.0,2019
losing isaiah,17000000,7603766,111.0,1995
killers,75000000,98159963,100.0,2010
mr. pip,0,0,116.0,2012
art school confidential,0,0,102.0,2006
hemingway & gellhorn,19500000,0,155.0,2012
school of life,0,0,116.0,2017
the baytown outlaws,4000000,0,98.0,2012
love the coopers,17000000,24000000,107.0,2015
switchback,37000000,6482195,118.0,1997
hatchet iii,0,0,81.0,2013
the phantom,0,0,100.0,1996
the phantom,45000000,17300889,100.0,1996
phantasm iii: lord of the dead,2500000,0,91.0,1994
the million dollar hotel,8000000,0,122.0,2000
isolation,5000000,0,95.0,2005
ted bundy,0,0,99.0,2002
a.c.o.d.,0,175705,88.0,2013
the funhouse massacre,0,0,90.0,2015
the relic,60000000,33956608,110.0,1997
the double,0,200406,180.0,2011
the double,17000000,3696232,180.0,2011
mad money,0,0,104.0,2008
tracers,11000000,1863315,94.0,2015
wassup rockers,0,634074,111.0,2005
jolene,0,0,121.0,2008
frankie & alice,0,693181,101.0,2010
sharknado,1000000,0,86.0,2013
mambo italiano,4361898,3031801,88.0,2003
young ones,0,0,100.0,2014
rock-a-doodle,18000000,11657385,74.0,1991
about alex,0,0,99.0,2014
eating out,50000,0,90.0,2004
the saratov approach,0,0,107.0,2013
extinction,0,0,95.0,2015
maniac cop 2,4000000,0,90.0,1990
edmond,10,0,110.0,2005
battle beyond the stars,2000000,11000000,104.0,1980
ooops! noah is gone...,6000000,0,87.0,2015
wilderness,0,0,93.0,2006
cesar chavez,10000000,0,102.0,2014
delirious,0,0,96.0,1991
the comedy,0,0,95.0,2012
spread,0,12032983,97.0,2009
dead birds,1500000,0,91.0,2005
open grave,0,0,102.0,2013
jennifer eight,20000000,11390479,124.0,1992
art & copy,0,0,89.0,2009
asylum,22000000,0,99.0,1972
asylum,0,0,99.0,1972
the babysitters,0,44852,88.0,2007
raw deal,8500000,16209459,106.0,1986
joshua,0,719968,106.0,2002
beowulf & grendel,0,92076,103.0,2005
frankenstein's army,0,0,84.0,2013
a little bit of heaven,0,1296937,106.0,2011
madame bovary,0,0,118.0,2015
hanover street,0,0,109.0,1979
the quiet ones,200000,17834867,98.0,2014
henry's crime,12000000,204940,108.0,2010
the motel life,0,0,85.0,2012
the town that dreaded sundown,0,0,90.0,1976
the town that dreaded sundown,0,0,90.0,1976
canadian bacon,11000000,178104,91.0,1995
in secret,0,0,107.0,2013
forbidden world,0,0,77.0,1982
hatchet ii,2500000,52604,85.0,2010
breakin' 2: electric boogaloo,0,0,94.0,1984
fear x,0,0,91.0,2003
the english teacher,0,104810,93.0,2013
low down,0,0,114.0,2014
assault on wall street,0,0,99.0,2013
madman,0,0,88.0,1981
a guy thing,20000000,17432163,101.0,2003
terror train,3500000,0,97.0,1980
down to earth,0,0,87.0,2001
passion,30000000,0,127.0,2012
f/x2,16400000,0,108.0,1991
the calling,0,0,108.0,2014
leviathan,0,0,98.0,1989
leviathan,0,15704614,98.0,1989
casino jack,12500000,1083683,108.0,2010
khumba,20000000,27187375,85.0,2013
regression,0,17671101,106.0,2015
powder blue,0,0,106.0,2009
hello mary lou: prom night ii,0,2683519,97.0,1987
violet & daisy,0,0,88.0,2011
half light,0,0,110.0,2006
left behind,16000000,19682924,110.0,2000
left behind,0,0,110.0,2000
cbgb,0,40400,102.0,2013
the oblong box,175000,0,96.0,1969
c.h.u.d.,1250000,3412497,88.0,1984
the world made straight,0,0,119.0,2015
phil spector,0,0,92.0,2013
the weight of water,16000000,109130,114.0,2000
attack of the killer tomatoes!,90000,0,83.0,1978
another happy day,4000000,355688,119.0,2011
bad ass,0,0,90.0,2012
sharknado 2: the second one,0,0,95.0,2014
flowers in the attic,0,0,86.0,1987
flowers in the attic,0,0,86.0,1987
maya the bee movie,0,0,89.0,2014
plush,0,0,99.0,2013
bio-dome,15000000,0,88.0,1996
so undercover,0,0,94.0,2012
cavemen,0,0,88.0,2013
grave encounters 2,0,0,95.0,2012
the devil's violinist,0,11294,122.0,2013
unfinished business,35000000,14431253,91.0,2015
blueberry,53000000,0,124.0,2004
robot overlords,21000000,0,90.0,2015
tower block,0,0,90.0,2012
bait,30000000,0,93.0,2000
bait,35000000,0,93.0,2000
dead heat,5000000,0,86.0,1988
walt before mickey,0,0,107.0,2015
final girl,0,0,90.0,2015
wild bill,0,0,98.0,1995
pressure,0,0,91.0,2015
the girl,0,0,91.0,2012
walter,700000,0,94.0,2015
swimfan,8500000,0,85.0,2002
anguish,0,0,86.0,2015
the adventurer: the curse of the midas box,25000000,6399,100.0,2013
the ladies man,24000000,13700000,84.0,2000
the ladies man,0,0,84.0,2000
good,0,0,92.0,2008
strangerland,10000000,17472,112.0,2015
hick,0,0,99.0,2011
almost an angel,0,0,95.0,1990
blood and chocolate,0,0,98.0,2007
the ultimate life,0,0,105.0,2013
heaven,11000000,0,88.0,1987
song one,6000000,32251,86.0,2015
sassy pants,0,0,88.0,2012
strange wilderness,0,6575282,87.0,2008
class of nuke 'em high,2000000,0,85.0,1986
a good marriage,0,0,102.0,2014
home of the brave,12000000,0,106.0,2006
a little trip to heaven,12000000,0,98.0,2005
the chaperone,0,0,103.0,2011
air,0,0,95.0,2015
age of heroes,0,0,90.0,2011
as i lay dying,0,0,110.0,2013
and while we were here,0,0,83.0,2013
yellowbrickroad,500000,0,98.0,2010
black moon rising,0,6637565,100.0,1986
riders,0,0,83.0,2002
transylvania 6-5000,0,0,93.0,1985
shine,0,0,105.0,2017
alien trespass,0,0,90.0,2009
house arrest,0,0,108.0,1996
crocodile dundee in los angeles,21150000,39438674,92.0,2001
a little help,0,0,109.0,2010
3 nights in the desert,0,0,90.0,2014
women in trouble,3000000,18097,92.0,2009
boys of abu ghraib,0,0,102.0,2014
the sand,0,0,84.0,2015
they wait,0,0,99.0,2007
dirty,3000000,0,97.0,2005
the return of swamp thing,0,192816,88.0,1989
sharknado 3: oh hell no!,0,0,93.0,2015
child of god,0,0,104.0,2014
the inhabitants,0,0,90.0,2015
the pebble and the penguin,28000000,3983912,74.0,1995
arthur newman,0,0,93.0,2012
chapter 27,0,0,84.0,2007
harbinger down,0,0,82.0,2015
new rose hotel,0,0,93.0,1999
bless the child,40000000,0,107.0,2000
are you here,0,0,114.0,2013
postman pat: the movie,0,0,88.0,2014
bad kids go to hell,0,0,91.0,2012
cottage country,0,0,91.0,2013
starcrash,0,0,92.0,1978
eichmann,8000000,0,122.0,2007
home sweet hell,3000000,0,98.0,2015
the living,500000,0,89.0,2014
hansel and gretel get baked,4500000,0,86.0,2013
loverboy,0,0,99.0,2005
loverboy,0,3960327,99.0,2005
my boss's daughter,14000000,0,86.0,2003
postal,0,0,100.0,2007
chasers,0,1596687,102.0,1994
man about town,0,0,96.0,2006
dead man running,0,0,92.0,2009
fled,25000000,17193231,98.0,1996
lucky numbers,65000000,0,105.0,2000
the statement,0,0,120.0,2003
carpool,17000000,0,89.0,1996
chain letter,0,0,88.0,2010
the lookalike,0,0,100.0,2014
hellbenders,0,0,90.0,2013
anastasia,53000000,139804348,94.0,1997
happily n'ever after,0,0,75.0,2006
the dinosaur project,0,0,83.0,2012
paradise,0,0,100.0,2013
the benefactor,0,0,93.0,2015
double dragon,3500000,2341309,96.0,1994
kickin' it old skool,0,0,108.0,2007
fresh,0,0,114.0,2009
free ride,0,0,86.0,2013
the romantics,4500000,123820,95.0,2010
sparkle,14000000,24637469,116.0,2007
jinn,0,149337,97.0,2014
the babymakers,0,0,95.0,2012
wild horses,0,0,100.0,2015
under the bed,0,0,87.0,2012
surf nazis must die,0,0,83.0,1987
beneath,89,0,90.0,2013
beneath,0,0,90.0,2013
accidental love,26000000,0,100.0,2015
antisocial,0,0,116.0,2013
"silent night, deadly night part 2",250000,154323,88.0,1987
miss conception,0,0,104.0,2008
bloodrayne,25000000,2405420,95.0,2005
nightlight,0,0,85.0,2015
teen wolf too,0,0,95.0,1987
amnesiac,3000000,0,90.0,2015
i am here,0,0,97.0,2014
passion play,15000000,0,94.0,2011
club life,0,4444,87.0,2015
age of the dragons,5000000,0,91.0,2011
mega piranha,0,0,92.0,2010
the lion king,45000000,788241776,118.0,1994
toy story,30000000,361958736,81.0,1995
up,175000000,731342744,96.0,2009
guardians of the galaxy,170000000,773312399,121.0,2014
finding nemo,94000000,864625978,100.0,2003
coco,0,0,105.0,2017
toy story 3,200000000,1063171911,103.0,2010
"monsters, inc.",115000000,562816256,92.0,2001
star wars: the force awakens,200000000,2068178225,138.0,2015
the princess bride,16000000,30857814,98.0,1987
ratatouille,150000000,623722818,111.0,2007
captain america: the winter soldier,170000000,714766572,136.0,2014
aladdin,28000000,504050219,128.0,1992
toy story 2,90000000,485015179,92.0,1999
the incredibles,92000000,631442092,115.0,2004
pirates of the caribbean: the curse of the black pearl,140000000,655011224,143.0,2003
big hero 6,165000000,652105443,102.0,2014
doctor strange,0,0,115.0,2016
frozen,0,3065860,102.0,2013
frozen,150000000,1274219009,102.0,2013
the nightmare before christmas,18000000,75634409,76.0,1993
tangled,260000000,591794936,100.0,2010
wreck-it ralph,165000000,471222889,101.0,2012
ant-man,130000000,518602163,117.0,2015
avengers: age of ultron,280000000,1405035767,141.0,2015
mary poppins,6000000,102272727,139.0,1964
who framed roger rabbit,70000000,329803958,104.0,1988
mulan,90000000,304320254,115.0,1998
iron man 3,200000000,1215439994,130.0,2013
the sound of music,8200000,163214286,172.0,1965
ice age,59000000,383257136,81.0,2002
cars,120000000,461983149,117.0,2006
monsters university,200000000,743559607,104.0,2013
a bug's life,120000000,363398565,95.0,1998
the jungle book,0,0,106.0,1967
the jungle book,4000000,205843612,106.0,1967
remember the titans,30000000,136706683,113.0,2000
brave,185000000,538983207,93.0,2012
the simpsons movie,75000000,527068851,87.0,2007
the emperor's new groove,100000000,169327687,78.0,2000
the straight story,10000000,0,112.0,1999
one hundred and one dalmatians,4000000,215880014,79.0,1961
pinocchio,0,0,120.0,1940
thor: the dark world,170000000,479765000,112.0,2013
lilo & stitch,80000000,145771527,85.0,2002
pirates of the caribbean: dead man's chest,200000000,1065659812,151.0,2006
alice in wonderland,200000000,1025467110,108.0,1951
alice in wonderland,21000000,0,108.0,1951
alice in wonderland,0,0,108.0,1951
peter pan,100000000,121975011,113.0,1953
peter pan,0,0,113.0,1953
"the chronicles of narnia: the lion, the witch and the wardrobe",180000000,748806957,143.0,2005
"the chronicles of narnia: the lion, the witch and the wardrobe",0,0,143.0,2005
miracle on 34th street,0,46264384,96.0,1947
pirates of the caribbean: at world's end,300000000,961000000,169.0,2007
the many adventures of winnie the pooh,0,0,74.0,1977
star wars: episode ii - attack of the clones,120000000,649398328,142.0,2002
mickey's christmas carol,3000000,21000000,26.0,1983
star wars: episode i - the phantom menace,115000000,924317558,136.0,1999
cool runnings,14000000,154864401,98.0,1993
the parent trap,0,0,128.0,1998
the parent trap,0,0,128.0,1998
the muppet christmas carol,0,27281507,85.0,1992
treasure planet,140000000,109578115,95.0,2002
the fox and the hound,12000000,29800000,83.0,1981
holes,20000000,0,117.0,2003
pete's dragon,10000000,0,102.0,2016
the good dinosaur,175000000,331926147,93.0,2015
frankenweenie,39000000,81491068,87.0,2012
frankenweenie,0,0,87.0,2012
tron,17000000,33000000,125.0,1982
winnie the pooh,30000000,14460000,104.0,2011
tron: legacy,170000000,400062763,125.0,2010
the sword in the stone,0,0,79.0,1963
the aristocats,4000000,55675257,78.0,1970
homeward bound: the incredible journey,0,0,84.0,1993
the chronicles of narnia: prince caspian,225000000,419651413,150.0,2008
the great mouse detective,14000000,82424789,74.0,1986
flight of the navigator,0,18564613,90.0,1986
james and the giant peach,38000000,28921264,79.0,1996
willow,35000000,57269863,126.0,1988
meet the robinsons,150000000,169332978,95.0,2007
fantasia 2000,80000000,90874570,75.0,1999
tinker bell,48000000,0,78.0,2008
the rescuers,1200000,71215869,78.0,1977
eight below,40000000,120455994,120.0,2006
invincible,0,57806952,137.0,2006
sister act,31000000,231605150,100.0,1992
john carter,260000000,284139100,132.0,2012
freaky friday,26000000,110230332,97.0,2003
freaky friday,0,0,97.0,2003
the santa clause,22000000,189833357,97.0,1994
descendants,0,0,112.0,2015
"honey, i shrunk the kids",32000000,222724172,93.0,1989
phineas and ferb the movie: across the 2nd dimension,0,0,78.0,2011
pirates of the caribbean: on stranger tides,380000000,1021683000,137.0,2011
the bfg,0,0,117.0,2016
the princess diaries,37000000,165335153,111.0,2001
national treasure: book of secrets,130000000,457363168,124.0,2007
ducktales: the movie - treasure of the lost lamp,0,0,74.0,1990
a goofy movie,0,35348597,78.0,1995
the greatest game ever played,25000000,15431177,120.0,2005
tinker bell and the lost treasure,0,0,81.0,2009
bedknobs and broomsticks,20000000,0,117.0,1971
hocus pocus,28000000,39514713,96.0,1993
secretariat,35000000,60251371,123.0,2010
muppet treasure island,0,34327391,99.0,1996
the rescuers down under,37931000,27931461,77.0,1990
the rocketeer,42000000,62000000,108.0,1991
high school musical,4200000,0,98.0,2006
atlantis: the lost empire,120000000,186053725,95.0,2001
the great muppet caper,0,0,97.0,1981
