movie_name,budget,revenue,runtime,year
la bamba,6500000,54215416,108.0,1987
public enemies,80000000,214104620,140.0,2009
the polar express,165000000,305875730,100.0,2004
under the skin,13300000,5380251,108.0,2014
zack and miri make a porno,24000000,42105111,101.0,2008
the score,68000000,71069884,124.0,2001
hamburger hill,0,13839404,110.0,1987
9,30000000,48428063,79.0,2009
9,0,0,79.0,2009
undefeated,0,0,113.0,2011
legend,25000000,42972994,132.0,2015
legend,25000000,15502112,132.0,2015
terminator 3: rise of the machines,200000000,435000000,109.0,2003
hancock,150000000,624029371,92.0,2008
the pixar story,0,0,88.0,2007
child's play,9000000,44196684,90.0,1988
obvious child,0,3123963,84.0,2014
the spiderwick chronicles,90000000,162839667,96.0,2008
turbo,135000000,282570682,96.0,2013
my girl,16500000,0,102.0,1991
remember,0,1986615,94.0,2015
bad boys ii,130000000,273339556,147.0,2003
being elmo: a puppeteer's journey,0,286201,80.0,2011
creep,0,0,77.0,2014
creep,0,0,77.0,2014
the interview,44000000,11305175,112.0,2014
outbreak,0,189859560,127.0,1995
black snake moan,15000000,10903846,116.0,2006
candyman,6000000,25792310,99.0,1992
up in smoke,0,41590893,86.0,1978
final destination,23000000,53302314,98.0,2000
kill the messenger,5000000,2450846,112.0,2014
21,35000000,69823199,123.0,2008
tomorrow never dies,110000000,333011068,119.0,1997
chitty chitty bang bang,10000000,0,144.0,1968
jodhaa akbar,8376800,13000000,213.0,2008
"love, rosie",0,4439431,102.0,2014
oceans,0,19406406,104.0,2009
alpha dog,0,15309302,122.0,2006
the babysitter,0,0,85.0,2017
click,82500000,237681299,107.0,2006
the duchess,0,0,110.0,2008
how the grinch stole christmas,123000000,345141403,104.0,2000
the sapphires,0,0,103.0,2012
bloodsport,1500000,11806119,92.0,1988
tinker bell and the legend of the neverbeast,0,0,76.0,2014
she's out of my league,20000000,49779728,104.0,2010
killing them softly,15000000,37930465,97.0,2012
suffragette,14000000,16002420,106.0,2015
terminator salvation,200000000,371353001,115.0,2009
tinker bell and the pirate fairy,0,20300000,78.0,2014
the world is not enough,135000000,361832400,128.0,1999
underworld: evolution,50000000,111340801,106.0,2006
the water diviner,22500000,15520023,111.0,2014
austin powers in goldmember,63000000,296633907,94.0,2002
he never died,0,0,99.0,2015
black sea,0,1171559,114.0,2014
event horizon,60000000,26673242,96.0,1997
mississippi grind,0,0,108.0,2015
young adult,12000000,22939027,94.0,2011
scary movie,19000000,278019771,111.0,2000
killer klowns from outer space,2000000,0,88.0,1988
while we're young,10000000,7587485,97.0,2014
die another day,140000000,431971116,133.0,2002
cadillac records,12000000,0,109.0,2008
the runaways,10000000,2995811,106.0,2010
2012,200000000,769653595,158.0,2009
sleeping with other people,0,3214116,101.0,2015
what lies beneath,100000000,155464351,130.0,2000
one day,15000000,59389433,107.0,2011
just friends,0,50817508,96.0,2005
final destination 2,26000000,90426405,90.0,2003
white fang,14000000,34793160,107.0,2018
underworld: rise of the lycans,35000000,91327197,92.0,2009
kevin hart: laugh at my pain,0,0,89.0,2011
gridiron gang,30000000,41480851,125.0,2006
hot rod,0,14334401,88.0,2007
bee movie,150000000,287594577,91.0,2007
he's just not that into you,40000000,177259441,129.0,2009
forks over knives,0,664747,96.0,2011
bandits,75000000,67631903,123.0,2001
dragonheart,57000000,115267375,103.0,1996
soul surfer,18000000,47088990,112.0,2011
haywire,23000000,33372606,93.0,2011
stuart little,133000000,300135367,84.0,1999
cutie and the boxer,0,0,82.0,2013
big miracle,40000000,24719215,107.0,2012
deep impact,75000000,140464664,120.0,1998
stonehearst asylum,0,0,112.0,2014
red dawn,65000000,44806783,114.0,1984
red dawn,0,38376497,114.0,1984
the company men,15000000,4882577,104.0,2010
jimmy neutron: boy genius,25000000,80936232,82.0,2001
world trade center,63000000,162945894,129.0,2006
mortal kombat,18000000,122195920,101.0,1995
carriers,0,5802422,84.0,2009
can't hardly wait,10000000,25605015,100.0,1998
the first wives club,26000000,116400000,103.0,1996
life as we know it,38000000,105610124,114.0,2010
cop car,0,134552,88.0,2015
urban cowboy,0,0,132.0,1980
above the rim,0,0,96.0,1994
resident evil: extinction,45000000,147717833,94.0,2007
open season,85000000,197309027,86.0,2006
resident evil: apocalypse,45000000,129394835,94.0,2004
kate & leopold,0,0,118.0,2001
the money pit,10000000,54999651,91.0,1986
burlesque,55000000,89519773,119.0,2010
the invention of lying,18500000,31912793,100.0,2009
laggies,0,0,99.0,2014
eddie murphy: delirious,0,0,69.0,1983
cookie's fortune,10000000,0,118.0,1999
center stage,18000000,17200925,115.0,2000
quartet,11000000,59520298,98.0,2012
dolphin tale 2,36000000,52424533,107.0,2014
evolution,80000000,98376292,101.0,2001
the iron lady,13000000,114956699,105.0,2011
son of a gun,0,0,108.0,2014
the rover,12250000,2295423,103.0,2014
after,0,0,105.0,2019
jersey boys,40000000,67347013,134.0,2014
final destination 3,25000000,117719158,93.0,2006
"to wong foo, thanks for everything! julie newmar",0,47774193,109.0,1995
elizabeth: the golden age,25000000,74237563,114.0,2007
the green hornet,120000000,227817248,119.0,2011
dear john,25000000,114977104,108.0,2010
13 sins,5000000,0,93.0,2014
kiss the girls,27000000,60527873,115.0,1997
battle: los angeles,70000000,202466756,116.0,2011
trailer park boys: the movie,5000000,3833507,95.0,2006
transcendence,100000000,103039258,119.0,2014
the unknown known,0,0,103.0,2013
into the forest,0,0,101.0,2016
stuart little 2,120000000,169956806,77.0,2002
from paris with love,52000000,52615806,92.0,2010
promised land,15000000,8138788,106.0,2012
the signal,4000000,600896,97.0,2014
the signal,50000,249905,97.0,2014
self/less,26000000,30523226,117.0,2015
in the shadow of the moon,2000000,0,115.0,2019
mirror mirror,85000000,183018522,106.0,2012
brooklyn's finest,17000000,29536299,132.0,2009
wish i was here,5500000,5483299,106.0,2014
man of tai chi,25000000,2054941,105.0,2013
the secret,0,0,106.0,2006
horns,0,0,120.0,2013
chicken little,150000000,314432665,81.0,2005
kicking and screaming,0,718490,95.0,1995
kevin hart: let me explain,0,32230907,75.0,2013
fun with dick and jane,100000000,202026112,90.0,2005
johnny english reborn,45000000,160078586,101.0,2011
highway,14000000,0,133.0,2014
chloe,15000000,8459458,96.0,2009
benji,0,0,87.0,2018
heartbreakers,35000000,0,123.0,2001
nighthawks,5000000,19905359,99.0,1981
romeo must die,25000000,91036760,115.0,2000
ghost rider,110000000,228738393,110.0,2007
tremors 2: aftershocks,4000000,0,100.0,1996
jupiter ascending,176000003,183987723,127.0,2015
nacho libre,32000000,80197993,92.0,2006
dinner for schmucks,69000000,86387857,114.0,2010
school daze,0,0,121.0,1988
resident evil: afterlife,60000000,296221663,96.0,2010
khoobsurat,0,0,130.0,2014
ginger & rosa,0,1005700,90.0,2012
the time machine,80000000,123729176,96.0,2002
the time machine,750000,0,96.0,2002
maps to the stars,0,1338365,111.0,2014
looney tunes: back in action,80000000,68514844,93.0,2003
the bling ring,0,0,90.0,2013
the bling ring,15000000,19145732,90.0,2013
the tourist,100000000,278346189,103.0,2010
what a girl wants,0,0,105.0,2003
he named me malala,0,2642899,88.0,2015
race to witch mountain,50000000,106303988,98.0,2009
a night at the roxbury,17000000,30331165,82.0,1998
song for marion,0,1697294,90.0,2012
dhobi ghat,0,0,100.0,2010
we are your friends,6000000,11122090,96.0,2015
the rugrats movie,0,100491683,79.0,1998
hit & run,2000000,14400000,100.0,2012
earth to echo,13000000,45300000,91.0,2014
40 days and 40 nights,17000000,0,96.0,2002
ninja assassin,40000000,60462347,99.0,2009
"as above, so below",5000000,40100000,93.0,2014
concussion,35000000,48623572,123.0,2013
concussion,0,0,123.0,2013
little monsters,7000000,793775,93.0,1989
the core,60000000,74208267,135.0,2003
the rum diary,45000000,24000000,119.0,2011
secret in their eyes,19500000,32189727,111.0,2015
a little chaos,0,0,112.0,2015
don't be afraid of the dark,25000000,36993168,99.0,2010
don't be afraid of the dark,0,0,99.0,2010
paheli,0,0,140.0,2005
scary movie 2,45000000,141220678,83.0,2001
failure to launch,50000000,88715192,97.0,2006
popeye,20000000,0,114.0,1980
get santa,0,0,102.0,2014
the bounty hunter,40000000,136000000,110.0,2010
guess who,35000000,68915888,105.0,2005
valentine's day,52000000,216485654,125.0,2010
the lovers,27000000,0,122.0,2017
ghosts of girlfriends past,0,102223269,115.0,2009
equals,0,2000000,101.0,2015
the bad education movie,0,0,90.0,2015
godzilla,160000000,529076069,123.0,1998
godzilla,130000000,379014294,123.0,1998
raising cain,12000000,37170057,92.0,1992
results,0,104507,105.0,2015
hop,63000000,183953723,95.0,2011
the peacemaker,50000000,0,124.0,1997
jim gaffigan: obsessed,0,0,60.0,2014
the final destination,40000000,186167139,82.0,2009
for colored girls,0,37000000,133.0,2010
the heartbreak kid,60000000,127766650,116.0,2007
the art of the steal,0,64065,90.0,2013
for love or money,30000000,11146270,96.0,1993
the package,0,0,94.0,2018
tusk,2800000,1826705,102.0,2014
tremors 3: back to perfection,0,0,104.0,2001
god's not dead,17000000,29789000,113.0,2014
a very murray christmas,0,0,56.0,2015
13 cameras,0,0,87.0,2015
cirque du freak: the vampire's assistant,40000000,28169671,109.0,2009
the captive,0,1075178,112.0,2014
dark places,20000000,208588,113.0,2015
drillbit taylor,40000000,0,110.0,2008
closed circuit,0,5750401,96.0,2013
i'll see you in my dreams,0,7449681,92.0,2015
it takes two,0,0,101.0,1995
cop out,30000000,55583804,107.0,2010
the green inferno,5000000,6833445,100.0,2014
the vatican tapes,13000000,1784763,91.0,2015
5 flights up,6000000,1020921,88.0,2014
life after beth,2400000,88273,89.0,2014
house at the end of the street,6900000,0,101.0,2012
all the boys love mandy lane,750000,0,90.0,2008
dream house,50000000,38502340,84.0,2011
arjun: the warrior prince,0,0,96.0,2012
country strong,15000000,20529194,117.0,2010
carrie,0,0,98.0,2002
carrie,30000000,82394288,98.0,2002
carrie,1800000,33800000,98.0,2002
"yours, mine & ours",45000000,72028752,88.0,2005
barely lethal,0,6075,96.0,2015
moonwalkers,0,0,107.0,2015
imagine that,55000000,0,107.0,2009
patrick,0,0,94.0,2018
patrick,0,0,94.0,2018
sleepover,0,0,89.0,2004
major league ii,0,30626182,105.0,1994
tarzan ii,0,0,72.0,2005
rugrats go wild,0,0,80.0,2003
sinister 2,10000000,52882018,97.0,2015
a haunted house,2500000,60141683,86.0,2013
"the goods: live hard, sell hard",10000000,0,89.0,2009
sex and the city 2,100000000,288347692,146.0,2010
apollo 18,5000000,25562924,86.0,2011
chernobyl diaries,0,18112929,86.0,2012
the cat in the hat,0,0,82.0,2003
cut bank,5000000,0,93.0,2014
casa de mi padre,0,0,84.0,2012
demonic,3000000,3387000,83.0,2015
silent hill: revelation 3d,20000000,52302796,95.0,2012
hangman,0,0,98.0,2017
lila & eve,0,0,94.0,2015
soul plane,16000000,14822346,86.0,2004
she hate me,8000000,365134,138.0,2004
w.e.,15000000,868439,119.0,2011
by the sea,10000000,3334927,122.0,2015
the last airbender,150000000,318502923,103.0,2010
backtrack,0,0,90.0,2015
mo' money,17000000,0,89.0,1992
the assignment,0,0,95.0,2016
snow day,0,0,89.0,2000
jem and the holograms,5000000,2333684,118.0,2015
point blank,0,0,86.0,2019
dragonheart: a new beginning,0,0,84.0,2000
sliver,40000000,116300000,107.0,1993
skin trade,9000000,0,96.0,2014
the roommate,16000000,40492759,91.0,2011
the watcher,33000000,0,103.0,2000
the adderall diaries,0,0,87.0,2016
shorts,40000000,28972508,89.0,2009
miss julie,5500000,5000000,129.0,2014
spy kids: all the time in the world,27000000,85564310,89.0,2011
the little mermaid,40000000,211343479,83.0,2018
i don't know how she does it,24000000,30551495,89.0,2011
visions,0,0,82.0,2015
good people,0,0,90.0,2014
hoodwinked too! hood vs. evil,30000000,13521829,86.0,2011
don verdean,0,0,90.0,2015
the love guru,62000000,41819064,87.0,2008
zoom,35000000,12506188,93.0,2006
revenge of the green dragons,5000000,0,94.0,2014
the devil inside,1000000,101758490,83.0,2012
reincarnated,0,0,96.0,2012
the runner,6000000,0,90.0,2015
monsters: dark continent,0,0,119.0,2014
a glimpse inside the mind of charles swan iii,0,0,86.0,2012
dance flick,0,0,83.0,2009
jacob's ladder,25000000,25965144,113.0,2019
the dark knight,185000000,1001921825,152.0,2008
goodfellas,25000000,46836394,146.0,1990
good will hunting,10000000,225933435,126.0,1997
the green mile,60000000,284600000,189.0,1999
batman begins,150000000,374218673,140.0,2005
kill bill: vol. 1,30000000,180949000,111.0,2003
zombieland,23600000,102391382,88.0,2009
kill bill: vol. 2,30000000,152159461,137.0,2004
true grit,38000000,252276927,110.0,2010
true grit,0,14250000,110.0,2010
50/50,8000000,39187783,100.0,2011
the graduate,3000000,104397102,106.0,1967
misery,20000000,61276872,107.0,1990
the conjuring,13000000,318000141,112.0,2013
blazing saddles,2600000,119500000,93.0,1974
up in the air,25000000,163670000,109.0,2009
the cabin in the woods,30000000,66486080,95.0,2012
escape from alcatraz,8000000,43000000,112.0,1979
star trek ii: the wrath of khan,12000000,96800000,113.0,1982
super 8,50000000,260095987,112.0,2011
coherence,0,102617,89.0,2013
heathers,0,1108462,103.0,1989
the descent,0,0,99.0,2005
rango,135000000,245724603,107.0,2011
the host,44000000,63327201,120.0,2006
we need to talk about kevin,7000000,6038942,112.0,2011
let me in,20000000,24145613,116.0,2010
megamind,130000000,321885765,95.0,2010
the full monty,3500000,257850122,91.0,1997
chicken run,45000000,224834564,84.0,2000
swingers,200000,4505922,96.0,1996
"food, inc.",0,0,94.0,2008
notes on a scandal,15000000,49469904,92.0,2006
star trek vi: the undiscovered country,27000000,96900000,110.0,1991
love & mercy,0,28641776,121.0,2015
the prince of egypt,70000000,218613188,99.0,1998
the way back,30000000,20348249,108.0,2010
risky business,6200000,63541777,99.0,1983
natural born killers,34000000,50282766,118.0,1994
horton hears a who!,85000000,297138014,86.0,2008
romancing the stone,10000000,86572238,106.0,1984
phone booth,13000000,97837138,81.0,2002
gods and monsters,10000000,6451628,105.0,1998
tangerine,0,0,88.0,2015
bend it like beckham,3500159,76578641,112.0,2002
the book of eli,80000000,157107755,118.0,2010
the messenger,6500000,1521261,113.0,2009
cartel land,0,0,100.0,2015
antz,60000000,171757863,83.0,1998
the next three days,30000000,51148651,133.0,2010
jesus camp,0,0,84.0,2006
kinsey,0,0,118.0,2004
demolition man,57000000,159055768,115.0,1993
spirit: stallion of the cimarron,80000000,122563539,83.0,2002
the skeleton twins,0,5284309,93.0,2014
monster house,75000000,140175006,91.0,2006
star trek iii: the search for spock,18000000,87000000,105.0,1984
cashback,0,2294291,102.0,2006
get smart,80000000,230685453,110.0,2008
killer joe,10000000,3665069,102.0,2011
oculus,5000000,44030246,104.0,2014
best of enemies,1000000,0,87.0,2015
arbitrage,12000000,35485056,107.0,2012
amazing grace,0,0,118.0,2018
jackass 3d,20000000,0,95.0,2010
the queen of versailles,0,714544,100.0,2012
2 days in paris,0,19776159,96.0,2007
the wrecking crew,0,0,105.0,2008
europa report,125687,0,90.0,2013
the cooler,32000000,0,101.0,2003
the road to el dorado,95000000,76432727,89.0,2000
christine,0,21200000,110.0,2016
pawn sacrifice,0,0,115.0,2015
transformers: dark of the moon,195000000,1123746996,154.0,2011
wayne's world 2,0,47965000,95.0,1993
no strings attached,25000000,147780440,108.0,2011
the pirates! in an adventure with scientists!,60000000,118338361,88.0,2012
gloria,0,4059673,122.0,2013
soul food,0,0,115.0,1997
footloose,24000000,63543328,113.0,2011
footloose,8200000,80035402,113.0,2011
charlotte's web,85000000,144,97.0,1973
charlotte's web,0,0,97.0,1973
drinking buddies,0,343341,90.0,2013
experimenter,0,0,98.0,2015
odd thomas,27000000,0,100.0,2013
every day,0,18000,97.0,2018
it's a disaster,0,0,88.0,2013
slums of beverly hills,5000000,0,91.0,1998
the frozen ground,27220000,5496951,105.0,2013
paranoid park,0,486021,85.0,2007
paranormal activity 3,5000000,205703818,83.0,2011
death wish,3000000,22000000,107.0,2018
star trek: insurrection,70000000,118000000,103.0,1998
bad company,70000000,65977295,84.0,1972
dior and i,0,0,90.0,2015
gorky park,0,16175602,128.0,1983
free willy,20000000,153698625,112.0,1993
man on a ledge,42000000,46221189,102.0,2012
meek's cutoff,0,876302,104.0,2010
walking tall,56000000,57223890,86.0,1973
walking tall,0,0,86.0,1973
pet sematary,11500000,57469467,101.0,2019
the overnight,0,1100000,79.0,2015
star trek: the motion picture,35000000,139000000,132.0,1979
southbound,0,0,89.0,2015
american ultra,28000000,28208085,96.0,2015
hellbound: hellraiser ii,0,12090735,97.0,1988
the mexican,57000000,147845033,123.0,2001
paranormal activity 2,3000000,177512032,91.0,2010
friends with kids,0,12186625,107.0,2012
welcome to the rileys,0,42145,110.0,2010
hector and the search for happiness,0,1124445,120.0,2014
waiting to exhale,16000000,81452156,124.0,1995
the swan princess,35000000,9771658,93.0,1994
sinbad: legend of the seven seas,60000000,26288320,86.0,2003
the den,0,0,81.0,2013
the 33,25000000,24902723,127.0,2015
teen spirit,0,0,93.0,2019
leap year,19000000,29922472,100.0,2010
the league of extraordinary gentlemen,78000000,179265204,110.0,2003
hello i must be going,0,0,95.0,2012
the jewel of the nile,25000000,96773200,106.0,1985
middle men,22000000,0,105.0,2009
before i go to sleep,0,15060457,92.0,2014
the yellow handkerchief,15000000,317000,102.0,2009
the chumscrubber,0,0,108.0,2005
universal soldier,23000000,0,102.0,1992
a life less ordinary,12000000,0,103.0,1997
girls just want to have fun,0,0,90.0,1985
the ant bully,50000000,55181129,88.0,2006
overboard,1880006,26713187,112.0,2018
high-rise,0,0,119.0,2015
tank girl,25000000,6600000,104.0,1995
case 39,27000000,29000000,109.0,2009
the x files: i want to believe,30000000,68369434,104.0,2008
a good old fashioned orgy,0,0,95.0,2011
children of the corn,4500000,0,92.0,1984
children of the corn,800000,14000000,92.0,1984
friday the 13th: the final chapter,0,32,91.0,1984
