imdb_rate,tomatoe_rate,imdb_votes_count,imdb_votes,popularity,movie_rate
8.8,8.7,9767,7.9,9.363643,8.69091075
8.7,8.7,6351,7.8,7.7538990000000005,8.23847475
8.5,9.6,3785,7.8,6.095293,7.998823249999999
8.5,9.5,938,7.9,2.364204,7.066051
8.4,8.7,7375,7.7,5.944518,7.6861295
8.4,9.5,2506,7.5,4.5783,7.494574999999999
8.3,8.9,3969,7.7,6.098027,7.74950675
8.3,9.5,1269,7.8,2.5826569999999998,7.045664250000001
8.4,10.0,662,7.8,0.816681,6.7541702500000005
8.1,9.3,1520,8.0,3.557846,7.2394615
8.2,9.7,1097,7.6,2.234953,6.933738249999999
8.2,8.8,2031,7.4,3.536655,6.9841637500000004
8.0,9.6,1339,7.2,2.571339,6.84283475
8.0,9.5,1688,7.4,1.385499,6.5713747499999995
8.0,9.5,2422,7.8,3.951582,7.3128955
8.2,9.1,830,7.8,2.04262,6.785654999999999
7.7,9.6,2022,7.1,1.9236939999999998,6.5809235
8.0,9.3,1831,7.8,1.765514,6.7163785
8.0,8.6,1727,7.6,2.046884,6.5617209999999995
8.1,9.5,716,7.5,1.465088,6.641272000000001
7.7,9.2,2854,7.6,6.118847,7.654711749999999
7.7,9.2,3317,6.9,3.931139,6.93278475
7.9,9.0,2141,7.1,3.7449559999999997,6.936239
7.9,9.0,1027,7.4,1.3282180000000001,6.407054499999999
7.8,9.2,2347,7.3,5.903353,7.55083825
7.8,9.2,10,6.3,2.407266,6.4268165
7.6,9.0,1595,6.9,2.103595,6.40089875
7.9,8.8,743,7.4,1.428302,6.3820755
7.8,8.0,755,7.3,1.36519,6.1162975
7.6,8.1,4851,7.1,3.7918809999999996,6.647970249999999
8.0,7.7,1691,7.1,3.520836,6.580209
7.6,8.5,1735,6.9,2.5567990000000003,6.38919975
7.7,7.9,1960,7.8,3.170271,6.6425677499999995
8.0,6.7,1392,7.5,0.8909090000000001,5.77272725
8.5,9.3,178,8.0,0.629432,6.6073580000000005
7.5,8.1,1258,7.2,1.906739,6.17668475
8.0,8.3,430,7.3,0.682531,6.070632750000001
7.8,7.5,2389,7.4,5.8984,7.1495999999999995
7.9,9.5,651,7.2,1.6444720000000002,6.5611180000000004
7.8,6.5,2436,7.2,2.566875,6.01671875
7.8,9.1,434,7.2,2.4306669999999997,6.63266675
7.8,9.0,495,7.4,0.787932,6.246983
7.8,7.1,1899,7.2,2.5373419999999998,6.1593355
7.5,9.3,1257,6.8,1.488615,6.27215375
7.7,8.5,480,7.0,0.855087,6.01377175
7.4,8.0,1762,6.9,2.441201,6.18530025
8.2,9.5,190,7.9,0.173477,6.443369249999999
7.7,8.1,614,7.1,1.165599,6.01639975
8.1,9.8,322,7.9,0.278117,6.5195292500000015
8.1,9.9,263,8.0,1.37667,6.8441675
7.6,8.5,784,7.1,1.345091,6.13627275
7.5,9.5,426,7.2,1.021218,6.3053045
7.8,6.8,1329,7.7,2.195536,6.123884
7.6,8.7,543,6.8,1.9058830000000002,6.25147075
7.4,9.7,739,6.9,0.8646969999999999,6.21617425
7.2,7.3,2376,6.6,4.02924,6.282309999999999
7.7,6.6,1093,7.1,1.622536,5.755634
7.3,8.9,912,6.9,1.9458939999999998,6.2614735
7.3,8.9,161,5.5,0.971052,5.667763
7.5,7.9,811,7.3,1.261132,5.990283
7.9,9.9,163,7.8,0.167149,6.44178725
7.3,8.4,1022,7.0,1.265401,5.99135025
7.3,8.3,561,6.5,1.117552,5.804388
7.2,7.8,741,6.4,2.440099,5.96002475
7.2,7.8,10,5.3,0.094652,5.098663
7.8,6.3,746,7.6,1.6106200000000002,5.827655
7.7,9.3,423,7.5,1.865007,6.59125175
7.1,9.1,669,6.8,1.116296,6.029074
6.8,6.8,57,4.2,0.872149,4.66803725
7.2,8.7,638,6.6,2.8851259999999996,6.3462815
7.4,8.7,530,6.9,1.271367,6.06784175
7.2,8.1,1207,6.6,2.726573,6.15664325
7.0,7.7,1373,6.4,1.499784,5.649946
7.3,7.4,1448,6.6,2.2343,5.883575
6.8,8.9,1119,6.3,1.480497,5.87012425
7.2,8.7,227,6.7,1.212565,5.95314125
7.1,8.5,706,6.5,2.463982,6.140995500000001
7.5,8.9,179,4.0,1.0389540000000002,5.3597385
7.5,8.9,143,6.7,0.396864,5.8742160000000005
7.6,8.5,252,7.3,0.8285319999999999,6.057132999999999
7.6,5.5,788,7.3,1.846848,5.561712
7.3,9.2,118,6.7,0.326577,5.88164425
7.5,9.2,232,7.1,0.677303,6.119325749999999
7.4,9.0,176,6.7,0.689094,5.9472735000000005
7.2,8.5,1035,6.9,3.0795220000000003,6.4198805000000005
7.1,8.8,485,6.3,0.8555200000000001,5.76388
7.2,7.1,1755,6.8,1.432796,5.633198999999999
7.1,9.1,480,6.8,0.602735,5.90068375
8.4,10.0,13,7.5,0.083258,6.4958145
7.4,9.9,202,6.9,0.609613,6.202403250000001
7.0,7.1,581,6.3,1.616191,5.50404775
7.1,9.6,263,6.7,0.8966270000000001,6.074156749999999
7.2,6.1,651,6.7,1.513108,5.378277
7.2,6.1,17,4.1,0.35347399999999995,4.438368499999999
7.4,6.9,606,6.7,2.160936,5.790234
7.5,8.1,81,6.8,0.7514460000000001,5.7878615
7.1,8.3,490,6.5,1.058691,5.7396727499999995
6.9,9.0,700,5.8,2.46449,6.041122500000001
6.6,9.1,15,5.3,0.12131600000000001,5.280329
6.6,9.1,25,5.8,0.266021,5.44150525
7.4,8.2,173,6.8,0.8939370000000001,5.82348425
7.5,7.0,183,7.5,0.54281,5.6357025
7.2,8.5,387,6.8,1.106899,5.90172475
7.0,9.0,240,6.4,0.884343,5.82108575
7.3,6.7,656,6.7,1.178045,5.46951125
6.6,8.2,1826,6.5,3.508379,6.20209475
6.7,8.2,734,6.1,1.057585,5.51439625
7.5,8.2,74,6.8,0.351379,5.71284475
7.4,4.0,927,6.9,1.191235,4.87280875
7.1,9.2,225,6.6,1.301204,6.050300999999999
7.2,8.3,113,6.5,1.008461,5.75211525
7.2,9.4,67,6.7,0.42095699999999997,5.9302392500000005
7.2,7.4,611,6.9,1.592819,5.77320475
7.0,8.9,384,6.4,2.576396,6.219099
6.6,7.8,951,6.1,1.419224,5.479806
6.8,6.6,999,6.7,1.396973,5.37424325
6.9,4.3,28,6.2,0.17219,4.3930475
6.9,4.3,1134,6.4,1.964673,4.891168250000001
7.0,6.5,14,4.3,0.098039,4.47450975
7.1,6.7,867,7.3,2.557859,5.9144647500000005
7.1,7.1,810,6.4,1.359987,5.48999675
7.5,7.4,273,7.2,1.316239,5.85405975
7.5,9.0,180,6.6,0.46315500000000004,5.8907887500000005
6.9,7.2,219,6.0,0.685325,5.19633125
6.6,6.8,1010,6.3,1.7264700000000002,5.3566175
6.9,7.1,629,6.6,1.026924,5.406731000000001
6.1,7.8,1537,5.6,3.16167,5.6654175
7.0,7.7,341,6.5,1.14937,5.5873425
7.2,8.1,189,6.9,0.568529,5.69213225
7.1,10.0,55,5.8,0.26952800000000005,5.792382
6.4,6.2,1433,6.2,2.5867869999999997,5.34669675
7.3,6.7,352,7.2,1.4490459999999998,5.6622615
7.8,8.6,44,7.0,0.29132199999999997,5.9228305
7.3,9.2,126,7.3,0.8369409999999999,6.15923525
7.1,8.2,182,6.8,0.289951,5.59748775
7.0,3.1,1708,6.5,6.887883,5.871970750000001
6.6,6.4,1147,6.1,2.217084,5.329271
6.8,3.5,2138,6.4,4.21265,5.2281625
8.2,9.2,14,7.0,0.127707,6.13192675
6.6,5.2,583,6.0,1.560867,4.84021675
6.4,7.2,359,5.9,1.047978,5.1369945
6.9,9.2,229,6.6,1.329702,6.0074255
6.8,6.4,914,6.7,1.3743,5.318575000000001
7.4,9.9,59,7.3,0.507866,6.2769665
6.9,8.4,135,6.8,0.324,5.606000000000001
7.0,8.3,212,6.7,1.116674,5.7791685
7.1,8.0,125,6.4,0.346071,5.46151775
7.0,6.1,448,6.4,1.148377,5.16209425
6.8,4.6,1032,6.3,1.462377,4.79059425
6.8,8.1,184,6.3,0.758614,5.4896535
6.9,4.8,988,6.3,0.943815,4.73595375
8.0,9.0,28,7.9,0.284097,6.296024249999999
